编号,开始时间,结束时间,场景标签,场景难度,安全,效率,舒适,描述
0,00:01:38,00:01:48,19,3,1,1,1,
1,00:01:48,00:02:03,17,3,1,1,1,
2,00:02:03,00:02:11,19,3,1,1,1,
3,00:02:11,00:02:23,1,3,1,1,1,
4,00:02:23,00:02:45,17,3,1,1,1,
5,00:02:45,00:02:49,20,3,1,1,1,
6,00:02:49,00:02:56,6,3,1,1,1,
7,00:02:56,00:03:13,17,3,1,1,1,
8,00:03:13,00:03:21,6,3,1,1,1,
9,00:03:21,00:03:39,17,3,1,1,1,
10,00:03:39,00:04:23,6,3,1,1,1,
11,00:04:23,00:04:37,19,3,1,1,1,
12,00:04:37,00:05:05,17,3,1,1,1,
13,00:05:05,00:05:14,21,2,1,1,1,
14,00:05:14,00:05:36,12,2,1,1,1,
15,00:05:36,00:06:19,21,2,1,1,1,
16,00:06:19,00:06:38,4,1,1,1,1,
17,00:06:38,00:07:06,22，25,1,1,1,1,
18,00:07:06,00:07:18,17,2,1,1,1,
19,00:07:18,00:07:35,37,2,1,1,1,
20,00:07:35,00:07:43,25,1,1,1,1,
21,00:07:43,00:07:49,25,2,1,1,1,
22,00:07:49,00:07:57,6,2,1,1,1,
23,00:07:57,00:08:14,17,2,1,1,1,
24,00:08:14,00:08:22,25,2,1,1,1,
25,00:08:22,00:08:34,17,3,1,1,1,
26,00:08:34,00:08:49,22,2,1,1,1,
27,00:08:49,00:09:16,37,2,1,1,1,
28,00:09:16,00:09:24,12,2,1,1,1,
29,00:09:24,00:09:39,21,2,1,1,1,
30,00:09:39,00:10:03,17,3,1,1,1,
31,00:10:03,00:10:21,28,3,1,1,1,
32,00:10:21,00:10:27,19，20,2,1,1,1,
33,00:10:27,00:10:44,19,3,1,1,1,
34,00:10:44,00:11:19,15,3,1,1,1,
35,00:11:19,00:11:31,23,3,1,1,1,
36,00:11:31,00:11:47,17,3,1,1,1,
37,00:11:47,00:11:55,19,3,1,1,1,
38,00:11:55,00:12:08,19,3,1,1,1,
39,00:12:08,00:13:10,31,2,1,1,1,
40,00:13:10,00:13:29,17,3,1,1,1,
41,00:13:29,00:13:33,19,3,1,1,1,
42,00:13:33,00:13:53,17,3,1,1,1,
43,00:13:53,00:14:05,32,3,1,1,1,
44,00:14:05,00:14:11,30,3,1,1,1,
45,00:14:11,00:14:18,19,3,1,1,1,
46,00:14:18,00:14:33,19,3,1,1,1,
47,00:14:33,00:14:44,19,3,1,1,1,
48,00:14:44,00:14:50,17,3,1,1,1,
49,00:14:50,00:15:16,31,3,1,1,1,
50,00:15:16,00:15:39,19,3,1,1,1,
51,00:15:39,00:15:53,19,3,1,1,1,
52,00:15:53,00:16:18,6,3,1,1,1,
53,00:16:18,00:16:31,17,3,1,1,1,
