编号,开始时间,结束时间,场景标签,场景难度,安全,效率,舒适,描述
0,00:10:29,00:10:45,19,3,1,1,1,
1,00:10:45,00:11:02,19,3,1,1,1,
2,00:11:02,00:13:12,1,3,1,1,1,
3,00:13:12,00:13:34,17,3,1,1,1,
4,00:13:34,00:13:41,6,3,1,1,1,
5,00:13:41,00:13:51,19,3,1,1,1,
6,00:13:51,00:13:55,6,3,1,1,1,
7,00:13:55,00:14:07,17,3,1,1,1,
8,00:14:07,00:15:17,6,3,1,1,1,
9,00:15:17,00:15:29,17,3,1,1,1,
10,00:15:29,00:15:34,19,3,1,1,1,
11,00:15:34,00:15:39,17,3,1,1,1,
12,00:15:39,00:16:01,12,2,1,1,1,
13,00:16:01,00:16:11,21,2,1,1,1,
14,00:16:11,00:16:21,3,2,1,1,1,
15,00:16:21,00:16:26,22,1,1,1,1,
16,00:16:26,00:16:34,17,3,1,1,1,
17,00:16:34,00:16:44,37,2,1,1,1,
18,00:16:44,00:17:04,17,2,1,1,1,
19,00:17:04,00:17:11,22,3,1,1,1,
20,00:17:11,00:17:22,7,2,1,1,1,
21,00:17:22,00:18:10,17,2,1,1,1,
22,00:18:10,00:18:22,37,2,1,1,1,
23,00:18:22,00:18:28,9,3,1,1,1,
24,00:18:28,00:18:50,17,3,1,1,1,
25,00:18:50,00:18:56,21,3,1,1,1,
26,00:18:56,00:19:10,17,3,1,1,1,
27,00:19:10,00:19:33,28,3,2,1,1,
28,00:19:33,00:19:48,19,3,1,1,1,
29,00:19:48,00:19:59,15,3,1,1,1,
30,00:19:59,00:20:40,17,3,1,1,1,
31,00:20:40,00:20:46,19,3,1,1,1,
32,00:20:46,00:21:28,31,3,1,1,1,
33,00:21:28,00:21:33,19,3,1,1,1,
34,00:21:33,00:21:37,20,3,1,1,1,
35,00:21:37,00:21:52,19,3,1,1,1,
36,00:21:52,00:22:05,23,2,1,1,1,
37,00:22:05,00:22:19,17,3,1,1,1,
38,00:22:19,00:22:31,32,3,1,1,1,
39,00:22:31,00:22:35,30,3,1,1,1,
40,00:22:35,00:23:02,17,3,1,1,1,
41,00:23:02,00:23:11,19,3,1,1,1,
42,00:23:11,00:23:33,31,3,1,1,1,
43,00:23:33,00:23:41,30,3,1,1,1,
44,00:23:41,00:24:00,17,3,1,1,1,
45,00:24:00,00:24:08,23,3,1,1,1,
46,00:24:08,00:24:25,17,3,1,1,1,
47,00:24:25,00:24:32,6,3,1,1,1,
48,00:24:32,00:24:41,20,2,1,1,1,
49,00:24:41,00:24:46,17,3,1,1,1,
