编号,开始时间,结束时间,场景标签,场景难度,安全,效率,舒适,描述
0,0:01:27,0:01:43,12,3,1,1,1,
1,0:01:43,0:01:54,19,3,1,1,1,
2,0:01:54,0:02:00,19,3,1,1,1,
3,0:02:00,0:02:07,17,3,1,1,1,
4,0:02:07,0:02:30,44,3,,,,2：11接管
5,0:02:30,0:04:37,2,2,2,1,1,
6,0:04:37,0:05:00,17,3,1,1,1,
7,0:05:00,0:05:06,20,3,1,1,1,
8,0:05:06,0:05:13,7，39,2,2,1,1,
9,0:05:13,0:05:31,17,3,1,1,1,
10,0:05:31,0:05:38,6,3,1,1,1,
11,0:05:38,0:05:52,20,3,1,1,1,
12,0:05:52,0:06:45,6，40，41,3,,,,6：34安全接管，压实线变道，在交叉口无意义的车道选择
13,0:06:45,0:06:55,17,3,1,1,1,
14,0:06:55,0:07:08,19,3,1,1,1,
15,0:07:08,0:07:52,12,3,1,2,1,
16,0:07:52,0:09:18,21，42,3,,,,8：15效率接管
17,0:09:18,0:10:36,25，41,1,,,,9：50紧急安全接管，是25还是22需确认一下
18,0:10:36,0:10:54,19,2,1,1,1,
19,0:10:54,0:11:29,6，42,3,,,,11：14路口效率接管
20,0:11:29,0:12:13,22，25,1,1,1,1,
21,0:12:13,0:12:38,37，41,2,,,,12：22紧急接管
22,0:12:38,0:12:54,21,2,1,1,1,
23,0:12:54,0:13:05,17,3,1,1,1,
24,0:13:05,0:13:16,21,2,1,1,1,
25,0:13:16,0:13:43,28,3,1,2,1,
26,0:13:43,0:13:51,19,3,1,1,1,
27,0:13:51,0:14:02,19,3,1,1,1,
28,0:14:02,0:15:12,16,1,1,2,1,
29,0:15:12,0:15:26,19,3,1,1,1,
30,0:15:26,0:15:47,17,3,1,1,1,
31,0:15:47,0:15:56,19,3,1,1,1,
32,0:15:56,0:16:43,31,3,1,1,1,
33,0:16:43,0:17:42,17,3,1,1,1,
34,0:17:42,0:18:09,32,3,1,1,1,
35,0:18:09,0:18:20,19,3,1,1,1,
36,0:18:20,0:18:41,17,3,1,1,1,
37,0:18:41,0:18:52,19,3,1,1,1,
38,0:18:52,0:19:01,21,2,1,1,1,
39,0:19:01,0:19:20,31,3,1,1,1,
40,0:19:20,0:19:31,30,3,1,1,1,
41,0:19:31,0:19:42,20,3,1,1,1,
42,0:19:42,0:20:20,17,3,1,1,1,
43,0:20:20,0:20:49,6,3,1,1,1,
44,0:20:49,0:20:53,19,3,1,1,1,
