编号,开始时间,结束时间,场景标签,场景难度,安全,效率,舒适,描述
0,0:01:17,0:01:29,19,3,1,1,1,
1,0:01:29,0:01:39,17,3,1,1,1,
2,0:01:39,0:01:55,19,3,1,1,1,
3,0:01:55,0:03:12,1,3,1,1,1,
4,0:03:12,0:03:25,19,3,1,1,1,
5,0:03:25,0:03:40,17,3,1,1,1,
6,0:03:40,0:03:44,6,3,1,1,1,
7,0:03:44,0:03:56,17,3,1,1,1,
8,0:03:56,0:04:04,6,3,1,1,1,
9,0:04:04,0:04:18,17,3,1,1,1,
10,0:04:18,0:05:34,7,3,1,1,1,
11,0:05:34,0:05:58,19,3,1,2,1,
12,0:05:58,0:06:09,17,3,1,1,1,
13,0:06:09,0:06:47,10，41,3,,,,6：30安全接管
14,0:06:47,0:07:31,19，42,3,,,,7：17效率接管
15,0:07:31,0:07:58,3，4,1,1,1,1,
16,0:07:58,0:08:22,22，25,1,1,1,1,
17,0:08:22,0:08:26,20,3,1,1,2,突然刹停
18,0:08:26,0:08:34,25,2,1,1,1,
19,0:08:34,0:09:01,20,1,1,3,1,
20,0:09:01,0:09:19,37，41,2,,,,9：10紧急接管
21,0:09:19,0:09:28,22，25,2,1,1,1,
22,0:09:28,0:09:44,7,1,1,1,1,
23,0:09:44,0:09:54,25,2,1,1,1,
24,0:09:54,0:10:05,22,2,1,1,1,
25,0:10:05,0:10:20,17,2,1,1,1,
26,0:10:20,0:10:35,22，25,1,1,1,1,
27,0:10:35,0:11:03,37，41,2,,,,10：45安全接管
28,0:11:03,0:11:29,17,3,1,1,1,
29,0:11:29,0:11:49,28,3,1,1,1,
30,0:11:49,0:12:04,19,3,1,1,1,
31,0:12:04,0:12:15,19,3,1,1,1,
32,0:12:15,0:12:39,16,2,1,1,1,
33,0:12:39,0:12:52,17,3,1,1,1,
34,0:12:52,0:12:58,19,3,1,1,1,
35,0:12:58,0:13:13,17,3,1,1,1,
36,0:13:13,0:13:20,19,3,1,1,1,
37,0:13:20,0:14:09,31,3,1,1,1,
38,0:14:09,0:14:17,30,3,1,1,1,
39,0:14:17,0:14:54,17,3,1,1,1,
40,0:14:53,0:15:08,32,3,1,1,1,
41,0:15:08,0:15:19,19,3,1,1,1,
42,0:15:19,0:15:30,17,3,1,1,1,
43,0:15:30,0:15:43,19,3,1,1,1,
44,0:15:43,0:16:10,31,3,1,1,1,
45,0:16:10,0:16:18,30,3,1,1,1,
46,0:16:18,0:16:52,17,3,1,1,1,
47,0:16:52,0:17:00,20,3,1,1,1,
48,0:17:00,0:17:08,19,3,1,1,1,
49,0:17:08,0:17:13,6,3,1,1,1,
50,0:17:13,0:17:20,20,3,1,1,1,
