编号,开始时间,结束时间,场景标签,场景难度,安全,效率,舒适,描述
0,00:03:55,00:04:07,19,3,1,1,1,
1,00:04:07,00:04:17,20,3,1,1,1,
2,00:04:17,00:05:22,2，4,2,2,3,1,
3,00:05:22,00:05:46,17,3,1,1,1,
4,00:05:46,00:05:52,6,3,1,1,1,
5,00:05:52,00:06:08,17,3,1,1,1,
6,00:06:08,00:06:15,6,3,1,1,1,
7,00:06:15,00:06:27,19,3,1,1,1,
8,00:06:27,00:06:54,6,3,1,2,1,
9,00:06:54,00:07:14,19,3,1,1,1,
10,00:07:14,00:08:00,12,3,1,1,1,
11,00:08:00,00:09:17,21，42,2,,,,9：02效率接管
12,00:09:17,00:11:33,21，42，46,1,,,,9：48效率接管，系统无法激活
13,00:11:33,00:11:47,17,2,1,1,1,
14,00:11:47,00:13:14,25，42，46,1,,,,11：51效率接管，系统无法激活
15,00:13:14,00:13:59,21，42,2,,,,13：48效率接管
16,00:13:59,00:14:09,21,3,1,1,1,
17,00:14:09,00:14:21,20,3,1,1,1,
18,00:14:21,00:14:44,28,3,1,1,1,
19,00:14:44,00:15:05,19,3,1,1,1,
20,00:15:05,00:15:45,15,3,1,1,1,
21,00:15:45,00:16:02,17,3,1,1,1,
22,00:16:02,00:16:11,19,3,1,1,1,
23,00:16:11,00:16:27,19,3,1,3,1,
24,00:16:27,00:17:00,21，42,3,,,,16：33效率接管
25,00:17:00,00:17:51,31,3,1,1,1,
26,00:17:51,00:18:48,17,3,1,1,1,
27,00:18:48,00:19:06,32,3,1,1,1,
28,00:19:06,00:19:39,17,3,1,1,1,
29,00:19:39,00:19:49,20,3,2,1,1,
30,00:19:49,00:20:09,21,2,1,3,1,
31,00:20:09,00:20:35,31,3,1,1,1,
32,00:20:35,00:20:49,30,3,1,1,1,
33,00:20:49,00:21:20,17,3,1,1,1,
34,00:21:20,00:21:26,6,3,1,1,1,
35,00:21:26,00:21:29,17,3,1,1,1,
