编号,开始时间,结束时间,场景标签,场景难度,安全,效率,舒适,描述
0,0:01:22,0:01:35,19,3,1,1,1,
1,0:01:35,0:01:47,17,3,1,1,1,
2,0:01:47,0:02:44,23,3,1,3,1,
3,0:02:44,0:03:34,2，41,2,,,,3：26安全接管
4,0:03:34,0:04:00,17,3,1,1,1,
5,0:04:00,0:04:12,7,3,1,1,1,
6,0:04:12,0:04:24,17,3,1,1,1,
7,0:04:24,0:04:28,6,3,1,1,1,
8,0:04:28,0:04:43,17,3,1,1,1,
9,0:04:43,0:05:33,7，41,2,,,,5：28安全接管
10,0:05:33,0:05:56,19,3,1,2,1,
11,0:05:56,0:06:26,9,3,1,1,1,
12,0:06:26,0:07:20,21，42，46,3,,,,6：29效率接管
13,0:07:20,0:07:37,6,2,1,1,1,
14,0:07:37,0:09:14,22，42，46,1,,,,7：40效率接管
15,0:09:14,0:09:30,21,2,1,1,1,
16,0:09:30,0:09:40,17,3,1,1,1,
17,0:09:40,0:10:02,28,3,1,1,1,
18,0:10:02,0:10:08,19,3,1,1,1,
19,0:10:08,0:10:25,19,3,1,1,1,
20,0:10:25,0:11:44,15,3,1,1,1,
21,0:11:44,0:12:01,17,3,1,1,1,
22,0:12:01,0:12:10,19,3,1,2,1,
23,0:12:10,0:12:40,19,3,1,1,1,
24,0:12:40,0:12:53,21,3,1,1,1,
25,0:12:53,0:13:01,19,3,1,1,1,
26,0:13:01,0:14:00,31,3,1,1,1,
27,0:14:00,0:14:44,17,3,1,1,1,
28,0:14:44,0:14:58,32,3,1,1,1,
29,0:14:58,0:15:30,17,3,1,1,1,
30,0:15:30,0:15:42,19,3,1,1,1,
31,0:15:42,0:16:07,31,3,1,1,1,
32,0:16:07,0:16:21,30,3,1,1,1,
33,0:16:21,0:16:34,17,3,1,1,1,
34,0:16:34,0:16:39,21,3,1,1,1,
35,0:16:39,0:16:55,17,3,1,1,1,
36,0:16:55,0:17:02,6,3,1,1,1,
37,0:17:02,0:17:07,17,3,1,1,1,
