编号,开始时间,结束时间,场景标签,场景难度,安全,效率,舒适,描述
0,00:02:31,00:02:35,19,3,1,1,1,
1,00:02:35,00:02:51,17,3,1,1,1,
2,00:02:51,00:03:07,19,3,1,1,1,
3,00:03:07,00:05:07,1,2,1,1,1,
4,00:05:07,00:05:27,17,3,1,1,1,
5,00:05:27,00:05:33,6,3,1,1,1,
6,00:05:33,00:05:43,17,3,1,1,1,
7,00:05:43,00:05:53,7,3,1,1,1,
8,00:05:53,00:06:08,17,3,1,1,1,
9,00:06:08,00:06:21,19,2,1,1,1,
10,00:06:21,00:07:05,6,3,1,1,1,
11,00:07:05,00:08:28,19，42,3,,,,7：21效率接管
12,00:08:28,00:08:44,22,1,1,1,1,进入狭窄巷道
13,00:08:44,00:09:35,25,1,1,2,1,
14,00:09:35,00:10:17,37，42,2,,,,10：02效率接管
15,00:10:17,00:10:28,7,2,1,1,1,
16,00:10:28,00:10:41,17,2,1,1,3,
17,00:10:41,00:11:43,22，41,1,,,,10：55安全接管
18,00:11:43,00:11:48,21,2,1,1,1,
19,00:11:48,00:12:12,17,3,1,1,1,
20,00:12:12,00:12:36,28,2,1,1,1,
21,00:12:36,00:12:55,19,3,1,1,1,
22,00:12:55,00:13:51,16,1,1,1,1,
23,00:13:51,00:14:24,17,3,1,1,1,
24,00:14:24,00:14:37,19,3,1,1,1,
25,00:14:37,00:15:22,31,3,1,1,1,
26,00:15:22,00:15:29,20,3,1,1,1,
27,00:15:29,00:17:21,17,3,1,3,1,
28,00:17:21,00:17:48,32,3,1,1,1,
29,00:17:48,00:18:16,17,3,1,1,1,
30,00:18:16,00:18:19,19,3,1,1,1,
31,00:18:19,00:18:23,20,2,1,1,1,
32,00:18:23,00:18:31,19,3,1,1,1,
33,00:18:31,00:19:14,21,1,1,2,1,
34,00:19:14,00:19:40,31,3,1,1,1,
35,00:19:40,00:19:58,30,3,1,1,1,
36,00:19:58,00:20:43,27,3,1,1,1,
37,00:20:43,00:21:12,17,3,1,1,1,
38,00:21:12,00:21:24,6,3,1,1,1,
39,00:21:24,00:21:40,28,3,1,1,1,
