编号,开始时间,结束时间,场景标签,场景难度,安全,效率,舒适,描述
0,00:02:46,00:03:14,19,3,1,1,1,
1,00:03:14,00:03:48,19,3,1,1,1,
2,00:03:48,00:05:02,1,3,1,1,1,
3,00:05:02,00:05:24,17,3,1,1,1,
4,00:05:24,00:05:30,6,3,1,1,1,
5,00:05:30,00:05:40,17,3,1,1,1,
6,00:05:40,00:05:48,6,3,1,1,1,
7,00:05:48,00:06:03,19,3,1,1,1,
8,00:06:03,00:07:27,6,3,2,1,1,
9,00:07:27,00:07:43,19,3,1,1,1,
10,00:07:43,00:07:47,20,3,1,1,1,
11,00:07:47,00:08:02,17,3,2,1,1,
12,00:08:02,00:08:32,12,2,1,1,1,
13,00:08:32,00:08:49,19,2,1,2,1,
14,00:08:49,00:09:41,4,2,1,1,1,
15,00:09:41,00:09:57,22,1,1,1,1,
16,00:09:57,00:10:03,25,2,1,1,1,
17,00:10:03,00:10:56,37，41,2,,,,10：16安全接管
18,00:10:56,00:11:09,22,2,1,1,1,
19,00:11:09,00:11:39,17,2,1,1,1,
20,00:11:39,00:12:38,37，41,2,,,,11：51安全接管
21,00:12:38,00:12:56,17,3,1,1,1,
22,00:12:56,00:13:49,28，41,2,,,,13：25安全接管
23,00:13:49,00:14:04,15,3,1,1,1,
24,00:14:04,00:14:13,17,3,1,1,1,
25,00:14:13,00:14:20,19,3,1,1,1,
26,00:14:20,00:14:30,17,3,1,1,1,
27,00:14:30,00:14:36,19,3,1,1,1,
28,00:14:36,00:14:41,20,3,1,1,1,
29,00:14:41,00:15:33,31,3,1,1,1,
30,00:15:33,00:16:16,17,3,1,1,1,
31,00:16:16,00:16:33,32,3,1,1,1,
32,00:16:33,00:17:09,17,3,1,1,1,
33,00:17:09,00:17:25,19,3,1,1,1,
34,00:17:25,00:17:53,31,3,1,1,1,
35,00:17:53,00:18:12,30,3,1,1,1,
36,00:18:12,00:18:44,17,3,1,1,1,
37,00:18:44,00:19:08,6,3,1,1,1,
38,00:19:08,00:19:22,19,3,1,1,1,
