编号,开始时间,结束时间,场景标签,场景难度,安全,效率,舒适,描述
0,00:01:15,00:01:33,19,3,1,1,1,
1,00:01:33,00:01:52,17,3,1,1,1,
2,00:01:52,00:02:14,2,3,1,1,1,
3,00:02:14,00:02:30,23,3,1,1,1,
4,00:02:30,00:02:40,17,3,1,1,1,
5,00:02:40,00:02:46,6,3,1,1,1,
6,00:02:46,00:03:03,17,3,1,1,1,
7,00:03:03,00:03:11,6,3,1,1,1,
8,00:03:11,00:03:24,17,3,1,1,1,
9,00:03:24,00:04:08,6,3,1,1,1,
10,00:04:08,00:04:20,17,3,1,1,1,
11,00:04:20,00:05:10,21，42,3,,,,4：20效率接管
12,00:05:10,00:05:27,9,3,1,1,1,
13,00:05:27,00:05:54,21,2,1,3,1,
14,00:05:54,00:09:33,46,1,,,,狭窄巷道 NOA无法开启
15,00:09:33,00:09:57,17,3,1,1,1,
16,00:09:57,00:10:13,28,3,1,1,1,
17,00:10:13,00:10:32,19,3,1,1,2,
18,00:10:32,00:11:17,16,3,1,2,1,
19,00:11:17,00:11:28,20,3,1,1,1,
20,00:11:28,00:12:07,17,3,1,1,1,
21,00:12:07,00:12:16,19,3,1,1,1,
22,00:12:16,00:13:14,31,2,1,1,1,
23,00:13:14,00:13:56,17,3,1,1,1,
24,00:13:56,00:14:09,32,3,1,1,1,
25,00:14:09,00:14:38,17,3,1,1,1,
26,00:14:38,00:14:43,19,3,1,1,1,
27,00:14:43,00:14:57,19,3,1,1,1,
28,00:14:57,00:15:24,31,3,1,1,1,
29,00:15:24,00:15:33,19,3,1,1,1,
30,00:15:33,00:15:44,17,3,1,1,1,
31,00:15:44,00:15:52,19，21,3,1,1,1,
32,00:15:52,00:16:15,17,3,1,1,1,
33,00:16:15,00:16:23,6,3,1,1,1,
34,00:16:23,00:16:35,19,3,1,1,1,
