编号,开始时间,结束时间,场景标签,场景难度,安全,效率,舒适,描述
0,00:01:14,00:01:32,19,3,1,1,1,
1,00:01:32,00:01:53,19,3,1,1,1,
2,00:01:53,00:04:12,1,2,1,1,1,
3,00:04:12,00:04:35,20,3,1,1,1,
4,00:04:35,00:04:41,6,3,1,1,1,
5,00:04:41,00:04:52,17,3,1,1,1,
6,00:04:52,00:04:59,6,3,1,1,1,
7,00:04:59,00:05:39,17，42,3,,,,5：24效率接管
8,00:05:39,00:06:48,6,3,1,1,1,
9,00:06:48,00:07:09,19,3,1,1,1,
10,00:07:09,00:07:17,17,3,1,1,1,
11,00:07:17,00:07:47,12,2,1,1,1,
12,00:07:47,00:08:09,19,2,1,1,1,
13,00:08:09,00:08:54,3，4,1,1,2,1,
14,00:08:54,00:11:18,22，42，46,1,,,,9：12效率接管，之后系统无法再激活
15,00:11:18,00:11:27,20,2,1,1,1,
16,00:11:27,00:11:41,21,2,1,2,1,
17,00:11:41,00:11:57,21,3,1,1,1,
18,00:11:57,00:12:10,17,2,1,2,1,
19,00:12:10,00:12:35,28,3,1,1,1,
20,00:12:35,00:12:56,19,3,1,1,1,
21,00:12:56,00:13:19,15,3,1,2,1,
22,00:13:19,00:13:57,17,3,1,1,1,
23,00:13:57,00:14:04,19,3,1,1,1,
24,00:14:04,00:14:51,31,3,1,1,1,
25,00:14:51,00:15:27,17,3,1,1,1,
26,00:15:27,00:15:43,32,3,1,1,1,
27,00:15:43,00:16:16,17,3,1,1,1,
28,00:16:16,00:16:27,19,3,1,1,1,
29,00:16:27,00:16:53,31,3,1,1,1,
30,00:16:53,00:17:14,30,3,1,1,1,
31,00:17:14,00:17:45,17,3,1,1,1,
32,00:17:45,00:18:26,6,3,1,1,1,
33,00:18:26,00:18:38,17,3,1,1,1,
